## Benchmark with 150994944 rows (2^27 primary, 2^24 secondary)
## Keys (expected to be unique) taken from keys.bin
# p_log_entries = 27
# s_log_entries = 24
###
table,operation,positive_ratio,rw,pbs,sbs,0.5,0.6,0.7,0.75,0.8,0.85,0.9,0.95
iceberg,find,0.75,32,  8,  4, 10.254335, 10.646918, 11.130675, nan, nan, nan, nan, nan
iceberg,find,   1,32,  8,  4, 9.836544, 9.835725, 9.852595, nan, nan, nan, nan, nan
iceberg,find,   0,32,  8,  4, 11.504506, 13.083597, 14.933401, nan, nan, nan, nan, nan
iceberg,find, 0.5,32,  8,  4, 10.668237, 11.459526, 12.403507, nan, nan, nan, nan, nan
iceberg,find,0.75,32,  8,  4, 10.252954, 10.647962, 11.128423, nan, nan, nan, nan, nan
iceberg,find,   1,32,  8,  4, 9.833881, 9.834906, 9.850266, nan, nan, nan, nan, nan
iceberg,find,   0,32,  8,  4, 11.506138, 13.081190, 14.933401, nan, nan, nan, nan, nan
iceberg,find, 0.5,32,  8,  4, 10.673562, 11.462861, 12.405555, nan, nan, nan, nan, nan
iceberg,find,0.75,32,  8,  4, 10.255565, 10.652058, 11.130675, nan, nan, nan, nan, nan
iceberg,find,   1,32,  8,  4, 9.834701, 9.840025, 9.851085, nan, nan, nan, nan, nan
iceberg,find,   0,32,  8,  4, 11.502880, 13.078119, nan, nan, nan, nan, nan, nan
iceberg,find, 0.5,32,  8,  4, 10.666643, 11.459802, nan, nan, nan, nan, nan, nan
iceberg,find,0.75,32,  8,  4, 10.253517, 10.646733, nan, nan, nan, nan, nan, nan
iceberg,find,   1,32,  8,  4, 9.834701, 9.834496, nan, nan, nan, nan, nan, nan
iceberg,find,   0,32,  8,  4, 11.505331, 13.079584, 14.935501, nan, nan, nan, nan, nan
iceberg,find, 0.5,32,  8,  4, 10.672333, 11.460403, 12.404326, nan, nan, nan, nan, nan
iceberg,find,0.75,32,  8,  4, 10.252083, 10.650681, 11.129446, nan, nan, nan, nan, nan
iceberg,find,   1,32,  8,  4, 9.834240, 9.837305, 9.848832, nan, nan, nan, nan, nan
iceberg,find,   0,32,  8,  4, 11.502592, 13.081517, nan, nan, nan, nan, nan, nan
iceberg,find, 0.5,32,  8,  4, 10.670835, 11.462451, nan, nan, nan, nan, nan, nan
iceberg,find,0.75,32,  8,  4, 10.253107, 10.651648, nan, nan, nan, nan, nan, nan
iceberg,find,   1,32,  8,  4, 9.834701, 9.838592, nan, nan, nan, nan, nan, nan
iceberg,find,   0,32,  8,  4, 11.504230, 13.077299, nan, nan, nan, nan, nan, nan
iceberg,find, 0.5,32,  8,  4, 10.669670, 11.457537, nan, nan, nan, nan, nan, nan
iceberg,find,0.75,32,  8,  4, 10.254324, 10.648167, nan, nan, nan, nan, nan, nan
iceberg,find,   1,32,  8,  4, 9.836748, 9.891021, nan, nan, nan, nan, nan, nan
iceberg,put,,32,  8,  4, 22.159859, 26.987949, nan, nan, nan, nan, nan, nan
iceberg,put,,32,  8,  4, 22.168575, 27.000629, 32.161217, nan, nan, nan, nan, nan
iceberg,put,,32,  8,  4, 22.171265, 26.990330, nan, nan, nan, nan, nan, nan
iceberg,put,,32,  8,  4, 22.174515, 26.989431, 32.172314, nan, nan, nan, nan, nan
iceberg,put,,32,  8,  4, 22.186016, 26.997553, nan, nan, nan, nan, nan, nan
iceberg,put,,32,  8,  4, 22.179476, 27.000641, 32.167118, nan, nan, nan, nan, nan
iceberg,put,,32,  8,  4, 22.174311, 26.984653, nan, nan, nan, nan, nan, nan
iceberg,put,,32,  8,  4, 22.173298, 26.999655, nan, nan, nan, nan, nan, nan
iceberg,put,,32,  8,  4, 22.171854, 26.995953, nan, nan, nan, nan, nan, nan
iceberg,put,,32,  8,  4, 22.168673, 27.000422, 32.203377, nan, nan, nan, nan, nan
iceberg,fop,   0,32,  8,  4, 32.013569, 34.814430, nan, nan, nan, nan, nan, nan
iceberg,fop, 0.5,32,  8,  4, 19.737171, 22.467175, nan, nan, nan, nan, nan, nan
iceberg,fop,0.75,32,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   1,32,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   0,32,  8,  4, 32.446053, 34.800640, 37.973606, nan, nan, nan, nan, nan
iceberg,fop, 0.5,32,  8,  4, 19.735962, 22.468813, nan, nan, nan, nan, nan, nan
iceberg,fop,0.75,32,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   1,32,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   0,32,  8,  4, 32.450600, 34.800518, 37.994987, nan, nan, nan, nan, nan
iceberg,fop, 0.5,32,  8,  4, 19.738829, 22.468616, nan, nan, nan, nan, nan, nan
iceberg,fop,0.75,32,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   1,32,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   0,32,  8,  4, 32.450630, 34.791630, nan, nan, nan, nan, nan, nan
iceberg,fop, 0.5,32,  8,  4, 19.736986, 22.468813, 25.673315, nan, nan, nan, nan, nan
iceberg,fop,0.75,32,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   1,32,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   0,32,  8,  4, 32.482380, 34.827007, 38.003098, nan, nan, nan, nan, nan
iceberg,fop, 0.5,32,  8,  4, 19.733728, 22.475611, 25.670536, nan, nan, nan, nan, nan
iceberg,fop,0.75,32,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   1,32,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   0,32,  8,  4, 32.468990, 34.816822, 38.006195, nan, nan, nan, nan, nan
iceberg,fop, 0.5,32,  8,  4, 19.736225, 22.471884, nan, nan, nan, nan, nan, nan
iceberg,fop,0.75,32,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   1,32,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   0,32,  8,  4, 32.475342, 34.823219, nan, nan, nan, nan, nan, nan
iceberg,fop, 0.5,32,  8,  4, 19.729631, 22.472359, nan, nan, nan, nan, nan, nan
iceberg,fop,0.75,32,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   1,32,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   0,32,  8,  4, 32.481392, 34.814167, nan, nan, nan, nan, nan, nan
iceberg,fop, 0.5,32,  8,  4, 19.730841, 22.471886, nan, nan, nan, nan, nan, nan
iceberg,fop,0.75,32,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   1,32,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   0,32,  8,  4, 32.461617, 34.812767, nan, nan, nan, nan, nan, nan
iceberg,fop, 0.5,32,  8,  4, 19.736782, 22.473236, nan, nan, nan, nan, nan, nan
iceberg,fop,0.75,32,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   1,32,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   0,32,  8,  4, 32.478821, 34.813774, 37.992889, nan, nan, nan, nan, nan
iceberg,fop, 0.5,32,  8,  4, 19.736370, 22.474138, nan, nan, nan, nan, nan, nan
iceberg,fop,0.75,32,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   1,32,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
