table,operation,positive_ratio,rw,pbs,sbs,0.5,0.6,0.7,0.75,0.8,0.85,0.9,0.95,1
iceberg,havi,,32, 16,  8, 2.507264, 2.988688, 3.460096, 3.700736, 3.937472, 4.177056, 4.410880, 4.638208, 4.878880
iceberg,havi,,32, 16,  8, 2.510544, 2.988544, 3.462336, 3.707424, 3.936768, 4.174480, 4.410368, 4.638832, 4.878336
iceberg,havi,,32, 16,  8, 2.507776, 2.991616, 3.459584, 3.700736, 3.937280, 4.175872, 4.411904, 4.639936, 4.877824
iceberg,havi,,32, 16,  8, 2.508928, 2.989568, 3.460096, 3.703296, 3.939424, 4.175872, 4.409856, 4.638720, 4.875264
cuckoo,havi,,32, 16,  0, 15.669872, 18.737152, 21.800610, 23.390816, 24.863232, 26.468159, 27.980946, 29.511681, 31.041536
cuckoo,havi,,32, 16,  0, 15.677441, 18.732544, 21.806320, 23.386112, 24.888832, 26.451456, 27.955200, 29.509680, 31.049728
cuckoo,havi,,32, 16,  0, 15.678207, 18.747906, 21.860847, 23.365631, 24.889473, 26.454144, 27.955040, 29.491825, 31.090336
cuckoo,havi,,32, 16,  0, 15.661057, 18.725376, 21.780079, 23.395329, 24.872959, 26.447872, 27.982336, 29.511681, 31.041679
cuckoo,havi,,32, 16,  0, 15.686144, 18.719889, 21.803009, 23.388672, 24.874559, 26.456593, 27.939327, 29.526527, 31.090176
cuckoo,havi,,32, 16,  0, 15.678480, 18.751488, 21.863071, 23.383600, 24.897615, 26.456575, 27.965103, 29.478912, 31.043072
cuckoo,havi,,32, 16,  0, 15.664640, 18.739201, 21.816208, 23.398399, 24.866816, 26.516848, 27.988480, 29.550097, 31.047184
cuckoo,havi,,32, 16,  0, 15.699552, 18.740751, 21.834751, 23.393280, 24.895472, 26.475008, 27.967999, 29.521008, 31.104000
cuckoo,havi,,32, 16,  0, 15.691441, 18.776064, 21.867519, 23.408640, 24.924671, 26.456608, 27.969536, 29.518017, 31.103935
cuckoo,havi,,32, 16,  0, 15.685632, 18.736641, 21.809664, 23.409233, 24.895535, 26.439167, 27.983360, 29.542400, 31.060097
iceberg,havi,,64, 16,  8, 2.801152, 3.334656, 3.860992, 4.132352, 4.387536, 4.653568, 4.892352, 5.135504, 5.393408
iceberg,havi,,64, 16,  8, 2.727664, 3.243008, 3.757136, 4.007936, 4.240384, 4.485632, 4.742144, 4.972656, 5.231616
iceberg,havi,,64, 16,  8, 2.726400, 3.253760, 3.768320, 4.015216, 4.253184, 4.503552, 4.751360, 4.992512, 5.244544
iceberg,havi,,64, 16,  8, 2.740224, 3.259408, 3.770992, 4.018176, 4.255744, 4.501008, 4.756992, 4.988928, 5.248512
iceberg,havi,,64, 16,  8, 2.734176, 3.258000, 3.766272, 4.019712, 4.260352, 4.510208, 4.751360, 4.997120, 5.245440
iceberg,havi,,64, 16,  8, 2.735232, 3.255936, 3.770368, 4.017344, 4.257280, 4.502016, 4.752400, 4.995072, 5.249632
iceberg,havi,,64, 16,  8, 2.732544, 3.255296, 3.769344, 4.020224, 4.259328, 4.503040, 4.752048, 4.989952, 5.244480
iceberg,havi,,64, 16,  8, 2.736640, 3.251712, 3.770880, 4.018256, 4.256928, 4.500992, 4.752384, 4.988928, 5.255744
iceberg,havi,,64, 16,  8, 2.731520, 3.254864, 3.768832, 4.023296, 4.254720, 4.504064, 4.751360, 4.992528, 5.249088
iceberg,havi,,64, 16,  8, 2.735152, 3.256848, 3.766272, 4.017664, 4.257792, 4.500480, 4.752960, 4.992000, 5.245440
cuckoo,havi,,64, 16,  0, 17.274448, 20.634239, 24.033329, 25.666912, 27.325775, 29.016575, 30.643200, 32.318466, 33.923073
cuckoo,havi,,64, 16,  0, 17.298943, 20.663807, 23.960960, 25.666561, 27.332703, 28.991137, 30.639696, 32.286324, 33.965569
cuckoo,havi,,64, 16,  0, 17.282608, 20.642817, 24.052734, 25.659904, 27.312737, 29.025280, 30.682112, 32.302254, 33.979904
cuckoo,havi,,64, 16,  0, 17.294334, 20.661856, 23.981056, 25.649664, 27.313839, 29.004288, 30.676991, 32.295937, 33.966942
cuckoo,havi,,64, 16,  0, 17.272976, 20.636864, 24.048304, 25.668608, 27.324928, 28.989536, 30.702591, 32.302128, 33.953278
cuckoo,havi,,64, 16,  0, 17.276928, 20.651009, 23.990273, 25.672144, 27.331072, 28.994049, 30.635008, 32.307713, 33.960560
cuckoo,havi,,64, 16,  0, 17.289856, 20.639744, 24.031361, 25.675262, 27.316063, 28.986881, 30.651905, 32.311295, 33.943039
cuckoo,havi,,64, 16,  0, 17.292801, 20.657185, 23.986721, 25.680897, 27.343361, 29.009407, 30.681280, 32.317039, 33.965057
cuckoo,havi,,64, 16,  0, 17.271296, 20.651888, 24.056320, 25.674751, 27.332096, 29.037136, 30.643200, 32.295967, 33.944145
cuckoo,havi,,64, 16,  0, 17.280512, 20.669952, 23.987200, 25.690577, 27.322369, 29.026815, 30.643200, 32.290817, 33.936897
iceberg,havi,,16, 32, 16, 3.283552, 3.921920, 4.553344, 4.869136, 5.191680, 5.506704, 5.821952, 6.135296, 6.524736
iceberg,havi,,16, 32, 16, 3.236464, 3.870208, 4.494336, 4.813824, 5.127168, 5.443584, 5.751808, 6.066688, 6.380096
iceberg,havi,,16, 32, 16, 3.237888, 3.777024, 4.385792, 4.697600, 5.009408, 5.310976, 5.616640, 5.911088, 6.228992
iceberg,havi,,16, 32, 16, 3.158080, 3.771392, 4.389552, 4.695040, 5.006336, 5.315072, 5.613568, 5.920432, 6.233088
